Source,Target,Value,,,,,,,,,,,,,,,,,,,
Bubble Plots,Land Cover Maps,0,,,,,,,,,,,,,,,,,,,
Bubble Plots,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Bubble Plots,Network Diagrams,1,,,,,,,,,,,,,,,,,,,
Bubble Plots,Sociograms,0,,,,,,,,,,,,,,,,,,,
Bubble Plots,Integrated Platforms,1,,,,,,,,,,,,,,,,,,,
Bubble Plots,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Bubble Plots,Treemaps,0,,,,,,,,,,,,,,,,,,,
Bubble Plots,Tables,0,,,,,,,,,,,,,,,,,,,
Bubble Plots,Figures (explanatory diagrams),0,,,,,,,,,,,,,,,,,,,
Bubble Plots,Flowcharts,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Line Charts,0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Bar Charts,1,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Pie Charts,1,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Scatter Plots,0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Histograms,0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Box Plots,0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Bubble Plots,0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Stacked Bar Charts,1,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Heatmaps,0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Choropleth Maps,0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Density Maps,0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Land Cover Maps,0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Network Diagrams,0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Sociograms,0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Integrated Platforms,1,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Treemaps,0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Tables,1,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Figures (explanatory diagrams),0,,,,,,,,,,,,,,,,,,,
Stacked Bar Charts,Flowcharts,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Heatmaps,Line Charts,1,,,,,,,,,,,,,,,,,,,
Heatmaps,Bar Charts,1,,,,,,,,,,,,,,,,,,,
Heatmaps,Pie Charts,0,,,,,,,,,,,,,,,,,,,
Heatmaps,Scatter Plots,1,,,,,,,,,,,,,,,,,,,
Heatmaps,Histograms,0,,,,,,,,,,,,,,,,,,,
Heatmaps,Box Plots,0,,,,,,,,,,,,,,,,,,,
Heatmaps,Bubble Plots,0,,,,,,,,,,,,,,,,,,,
Heatmaps,Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Heatmaps,Heatmaps,5,,,,,,,,,,,,,,,,,,,
Heatmaps,Choropleth Maps,2,,,,,,,,,,,,,,,,,,,
Heatmaps,Density Maps,1,,,,,,,,,,,,,,,,,,,
Heatmaps,Land Cover Maps,0,,,,,,,,,,,,,,,,,,,
Heatmaps,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Heatmaps,Network Diagrams,1,,,,,,,,,,,,,,,,,,,
Heatmaps,Sociograms,0,,,,,,,,,,,,,,,,,,,
Heatmaps,Integrated Platforms,1,,,,,,,,,,,,,,,,,,,
Heatmaps,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Heatmaps,Treemaps,0,,,,,,,,,,,,,,,,,,,
Heatmaps,Tables,4,,,,,,,,,,,,,,,,,,,
Heatmaps,Figures (explanatory diagrams),0,,,,,,,,,,,,,,,,,,,
Heatmaps,Flowcharts,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Line Charts,15,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Bar Charts,13,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Pie Charts,3,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Scatter Plots,4,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Histograms,1,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Box Plots,4,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Bubble Plots,0,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Heatmaps,2,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Choropleth Maps,38,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Density Maps,6,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Land Cover Maps,2,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Network Diagrams,1,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Sociograms,0,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Integrated Platforms,13,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Treemaps,1,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Tables,23,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Figures (explanatory diagrams),9,,,,,,,,,,,,,,,,,,,
Choropleth Maps,Flowcharts,12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Density Maps,Line Charts,5,,,,,,,,,,,,,,,,,,,
Density Maps,Bar Charts,2,,,,,,,,,,,,,,,,,,,
Density Maps,Pie Charts,0,,,,,,,,,,,,,,,,,,,
Density Maps,Scatter Plots,0,,,,,,,,,,,,,,,,,,,
Density Maps,Histograms,0,,,,,,,,,,,,,,,,,,,
Density Maps,Box Plots,2,,,,,,,,,,,,,,,,,,,
Density Maps,Bubble Plots,0,,,,,,,,,,,,,,,,,,,
Density Maps,Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Density Maps,Heatmaps,1,,,,,,,,,,,,,,,,,,,
Density Maps,Choropleth Maps,6,,,,,,,,,,,,,,,,,,,
Density Maps,Density Maps,7,,,,,,,,,,,,,,,,,,,
Density Maps,Land Cover Maps,0,,,,,,,,,,,,,,,,,,,
Density Maps,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Density Maps,Network Diagrams,1,,,,,,,,,,,,,,,,,,,
Density Maps,Sociograms,0,,,,,,,,,,,,,,,,,,,
Density Maps,Integrated Platforms,0,,,,,,,,,,,,,,,,,,,
Density Maps,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Density Maps,Treemaps,0,,,,,,,,,,,,,,,,,,,
Density Maps,Tables,4,,,,,,,,,,,,,,,,,,,
Density Maps,Figures (explanatory diagrams),1,,,,,,,,,,,,,,,,,,,
Density Maps,Flowcharts,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Line Charts,2,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Bar Charts,2,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Pie Charts,1,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Scatter Plots,1,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Histograms,0,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Box Plots,0,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Bubble Plots,0,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Heatmaps,0,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Choropleth Maps,2,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Density Maps,0,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Land Cover Maps,3,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Network Diagrams,1,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Sociograms,0,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Integrated Platforms,2,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Treemaps,0,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Tables,2,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Figures (explanatory diagrams),1,,,,,,,,,,,,,,,,,,,
Land Cover Maps,Flowcharts,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Line Charts,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Bar Charts,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Pie Charts,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Scatter Plots,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Histograms,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Box Plots,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Bubble Plots,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Heatmaps,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Choropleth Maps,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Density Maps,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Land Cover Maps,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Directed Acyclic Graphs (DAGs),1,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Network Diagrams,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Sociograms,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Integrated Platforms,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Treemaps,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Tables,0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Figures (explanatory diagrams),0,,,,,,,,,,,,,,,,,,,
Directed Acyclic Graphs (DAGs),Flowcharts,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Network Diagrams,Line Charts,3,,,,,,,,,,,,,,,,,,,
Network Diagrams,Bar Charts,2,,,,,,,,,,,,,,,,,,,
Network Diagrams,Pie Charts,0,,,,,,,,,,,,,,,,,,,
Network Diagrams,Scatter Plots,0,,,,,,,,,,,,,,,,,,,
Network Diagrams,Histograms,2,,,,,,,,,,,,,,,,,,,
Network Diagrams,Box Plots,0,,,,,,,,,,,,,,,,,,,
Network Diagrams,Bubble Plots,1,,,,,,,,,,,,,,,,,,,
Network Diagrams,Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Network Diagrams,Heatmaps,1,,,,,,,,,,,,,,,,,,,
Network Diagrams,Choropleth Maps,1,,,,,,,,,,,,,,,,,,,
